,color,hex
958,snowy,#fffafa
959,nixious,#fffafa
960,snow like,#fffafa
961,snow,#fffafa
962,milk white,#ffffff
963,milkish,#ffffff
964,milky,#ffffff
965,milk,#ffffff
966,milken,#ffffff
967,lacteal,#ffffff
968,lacteous,#ffffff
969,lactaceous,#ffffff
970,lactean,#ffffff
971,lactescent,#ffffff
972,bone,#e3dac9
973,ivory white,#fffff0
974,eburnean,#fffff0
975,eburnine,#fffff0
976,bone white,#fffff0
977,ivorine,#fffff0
978,ivoried,#fffff0
979,bone coloured,#fffff0
980,lily white,#fffaf0
981,lily,#fffaf0
982,lily whited,#fffaf0
983,lily wristed,#fffaf0
984,lily like,#fffaf0
985,lily coloured,#fffaf0
986,chalk white,#ffffff
987,chalky,#ffffff
988,chalkish,#ffffff
989,ermine,#ffffff
990,ermined,#ffffff
991,marble,#ffffff
992,alabaster,#edeae0
993,alabastrine,#ffffff
994,marmorean,#ffffff
995,marbly,#ffffff
996,marmoreal,#ffffff
997,pearly,#fff5ee
998,swan white,#ffffff
999,ice white,#ffffff
1000,pearl white,#fff5ee
1001,lint white,#ffffff
1002,wool white,#ffffff
1003,fish belly,#ffffff
1004,wax white,#ffffff
1005,cottonary,#ffffff
1006,cottonous,#ffffff
1007,cottony,#ffffff
1008,sheep hued,#fdf5e6
1009,natural coloured,#fdf5e6
1010,oysterous,#f5f5f5
1011,oyster,#f5f5f5
1012,silverish,#c0c0c0
1013,argentine,#c0c0c0
1014,argent,#c0c0c0
1015,silver coloured,#c0c0c0
1016,silver white,#c0c0c0
1017,silver like,#c0c0c0
1018,silvery,#c0c0c0
1019,argenteous,#c0c0c0
1020,silvern,#c0c0c0
1021,flatten,#f0f8ff
1022,fleeten,#f0f8ff
1023,blue white,#f0f8ff
1024,blush white,#ffe4e1
1025,cream coloured,#fffff0
1026,creamy,#fffff0
1027,blok,#000000
1028,neger,#000000
1029,sable,#000000
1030,black coloured,#000000
1031,sable coloured,#000000
1032,ebon,#000000
1033,ethiop,#000000
1034,torrid,#000000
1035,atred,#000000
1036,pullous,#000000
1037,nigricant,#000000
1038,nigrific,#000000
1039,negro,#000000
1040,nigritudinous,#000000
1041,nigrine,#000000
1042,blackish,#000000
1043,blacky,#000000
1044,nigrescent,#000000
1045,bigresceous,#000000
1046,for black,#000000
1047,self black,#000000
1048,nigrous,#000000
1049,all black,#000000
1050,jet black,#000000
1051,jetty,#000000
1052,jetty black,#000000
1053,jettish,#000000
1054,jet,#343434
1055,coal black,#000000
1056,as black as coal,#000000
1057,coaly,#000000
1058,night black,#000000
1059,night dark,#000000
1060,ravenish,#000000
1061,raven black,#000000
1062,raven coloured,#000000
1063,raven,#000000
1064,inky,#000000
1065,sepian,#000000
1066,atramental,#000000
1067,atramentous,#000000
